gold_label,sentence1,sentence2
neutral,People sit around tables watching intently under a cloth covering.,People sit around tables in a living room watching intently under a cloth covering.
entailment,A young boy walking in the park dressed in dark clothes and dark cap.,A young man walking in the park dressed in dark clothes and dark cap.
neutral,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky.,Male and female performers happily stand on stage.
entailment,A man wearing an apron is smiling at a plate of food.,The man is happy by the sight of the food before him.
entailment,A little girl with brown hair is blowing the petals off of a flower.,A little girl is blowing the petals.
entailment,"A white-haired man reclines in a seat pad on a boat's deck, reading a book.","a man reclines in a seat on a boat, reading."
entailment,A man kneeling and a woman standing next to him.,The man is near a woman.
contradiction,Two children standing in the grass being sprayed by a hose.,Children are playing tag in the grass
entailment,Sidewalk vendor dressed in white shirt brown pants sells grilled corn.,There is a person in this picture
neutral,A girl in a blue shirt leaps into the air.,The girl is in a ballet performance.
contradiction,A small dog wearing a denim miniskirt.,A dog is having all its hair shaved off.
entailment,Two young women are crossing a street just after a yellow school bus has passed by.,Two women crossing the street outside.
entailment,"Little girl and older male, holding hands and walking on train tracks.",People outside.
contradiction,"Two boys, one wearing green, the other in yellow, are playing with sidewalk chalk, drawing pictures on the ground.",Two boys lay dead on the sidewalk.
entailment,"Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",Three men are in a laboratory doing a scientific study.
entailment,An army officer is reading a children's book from a podium.,A human reading
entailment,A forest scene graces a curving wall as someone sits to the rear of the picture where there is a break in the design.,There is artwork with trees.
entailment,"With the sun rising, a person is gliding with a huge parachute attached to them.",The person is falling to saftey with the parachute
neutral,A woman is eating at a table as people walk by.,A woman is eating her meal at a resturant.
neutral,A man in a shirt and tie does the splits on a wood floor,The man is a gymnast.
entailment,Two people are in the ocean.,The two ocean goers are human.
neutral,A man in a black coat eats a doughnut while other men look out of frame.,A man in a black coat is covered in powdered sugar.
neutral,Two girls are on a street sidewalk and one is sitting.,girls are watching boys
entailment,"There are three men in this picture, two are on motorbikes, one of the men has a large piece of furniture on the back of his bike, the other is about to be handed a piece of paper by a man in a white shirt.",A man is receiving a piece of paper.
neutral,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys scoring a touchdown
contradiction,A boy with a concerned look it holding up two newspapers featuring a headline about murder.,A boy is not holding anything.
contradiction,A brunette woman is standing in front of a wall with graffiti.,A blonde man is near a clean concrete wall.
neutral,A baby wearing a bib makes a funny face at the camera.,A baby girl in a bib makes a funny face at her mom's camera.
neutral,"A man with white tennis shoes and an orange jacket, is sitting in a lawn chair.",an older man is sitting in a lawn chair
entailment,A toddler in a denim hats plays in a tire.,A toddler playing in a tire outside.
entailment,What appears to be a taller bald white man sitting next to a shorter black man in a reception area.,The taller bald white man is standing by the short black man.
neutral,A female basketball player dribbling down court.,A basketball player is destroying the ball.
neutral,A girl in a hate with ear flaps and a sweater.,A girl wears the hat and sweater she received for Christmas.
neutral,A young man trying to buy a car from his dealer after his old car was towed away by police.,A man trying to buy a new car from someone.
neutral,"A woman dressed in a black sweater, blue jeans, and golden high heel boots is looking a merchandise in a storefront window.",A woman is window shopping for purses.
entailment,The skier is doing a flip through some trees,A skier is doing tricks.
neutral,A young woman wearing a black shirt and black shorts jumps in the air at the beach.,A women exercising at the beach.
contradiction,A band of people playing brass instruments is performing outside.,A barbershop singing group is performing at a gymnasium.
contradiction,Boy standing in line in a grocery store with his items on the conveyor belt.,He is running playing basketball.
neutral,People dancing and being watched by a man wearing a shirt that says security.,He is ready to approach the dancing people.
entailment,"A young boy in a Cookie Monster t-shirt sits on the ground on a fall day, holding a fallen leaf in his hand as an expression of joy lights up on his face.",A young boy is playing in a pile of leaves.
entailment,A woman smiling while on a bicycle.,A woman is smiling.
entailment,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.
contradiction,A boy in a baseball cap jumps over a flight of stairs.,A guy swimming in the pool.
entailment,A woman in a jacket and scarf looking a table that a man in a black shirt is cooking something on.,A lady is watching a man cook.
entailment,a man in a tan shirt is standing at the kitchen counter looking at food.,A man standing at a kitchen counter looking at food.
neutral,A skater goes through a course.,A skater is outside
entailment,A man dressed in yellow rescue gear walks in a field.,The man is outdoors.
contradiction,A man in a hat stands in front of a brick wall.,A man in a hat sits down at the local DMV.
neutral,Two cyclist a man and a woman enjoy a leisurely bike ride on the cobblestone path.,The couple is biking through Central Park.
entailment,A group of men riding bicycles in a line.,The men riding together.
entailment,A young boy playing in a bubble playing in water.,A person is getting wet.
contradiction,Two men and three women are sitting at a rectangular wooden table drinking beer from glasses of various shapes.,A group of people watching a movie at a theater.
neutral,A woman is walking with a boy who is holding a flag.,A mother is walking with her child who is holding up an american flag.
contradiction,two people playing baseball one running and one throwing a ball.,Two guys playing cards.
contradiction,A young man standing on a plank of wood and using a large saw to cut it.,A young girl is cutting wood.
neutral,A town worker working on electrical equipment.,The worker is tired.
neutral,A man and woman running side by side down a tree-lined street casting long shadows.,A couple goes on a jog together.
entailment,Two marathon runners running through a forest.,There are people in the forest.
entailment,Two women wearing white bathrobes relax on a couch with their feet kicked up on a coffee table.,two women sit on a couch
contradiction,A couple of travelers in a train station.,Several dogs are waiting for a ride home from the dog park.
entailment,Man brushes image in the sand.,A human on the sand.
neutral,little boy running in the street.,A boy is running to school in the street.
neutral,A woman with dark hair and a red dress sits next to a little girl with blond-hair and a white dress while reading a book.,A tall person with hair
neutral,Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair.,The children are getting ready for anap.
neutral,A little girl with a hat sits between a woman's feet in the sand in front of a pair of colorful tents.,The girl is related to the woman.
entailment,"A young female dancer, wearing a pink top and pants, with her hair pulled behind her in a long ponytail, executes a step with one raised leg bent at the knee, and both arms extended and bent at the wrist, while two young people sit on folding chairs and watch.",A dancer wears a pink top.
entailment,"A young man and woman lay on a bed, the woman makes a goofy face.",The man and woman are relaxing together.
neutral,A girl in a red and white uniform tagging out a girl in a black uniform and helmet during a competitive game of softball.,Two girls from rival teams are participating in a softball game.
neutral,"A man in an urban area is sweeping the sidewalks, with a group of people in the background, crossing a street.",The man is paid to sweep.
entailment,A maintenance worker walking past a statue.,worker walking by a statue
neutral,A boy in a blue bathing suit jumps with his arms in the air in a backyard setting.,A boy jumps through the sprinklers.
entailment,A boy in a colorful hat and red shirt holding a green seed at the beach.,A boy is outdoors.
entailment,A woman walks by a brick building that's covered with graffiti.,A woman is outside.
neutral,An elderly woman crafts a design on a loom.,The woman is sewing.
entailment,Two men play basketball.,Men are playing a sport together.
contradiction,A large elderly woman in a green stripy dress is carrying shopping bags along a cobbled street.,two women drive home
neutral,Two dogs biting each other playfully while jumping,Two dogs are playing outdoors
contradiction,A man on a scenic canoe trip.,No one is on a canoe.
contradiction,A girl in a hate with ear flaps and a sweater.,A girl takes a shower while wearing no clothes.
entailment,A man in a white shirt has his mouth open and is adjusting dials.,A man is standing with his mouth open.
neutral,"Two young girls are playing large stringed instruments behind music stands, with a window in the background.",The girls are practicing their music for the concert.
entailment,A large elderly woman in a green stripy dress is carrying shopping bags along a cobbled street.,a woman in green walks along a street
neutral,A group of onlookers glance at a person doing a strange trick on her head.,Onlookers are impressed by the trick.
neutral,"A woman wearing sunglasses, jeans,& a t-shirt walks down the street carrying a bag.","The sunglasses are being worn because the woman thinks they look good, or that they protect her from the sun."
contradiction,People shopping at the marketplace.,A woman is swimming in the ocean.
neutral,A clown making a balloon animal for a pretty lady.,A clown showing off for a lady he has a crush on.
contradiction,"A man in plaid pants and a vest is speaking into a microphone to a group of people, who do n't appear to be looking at him.",There in no one speaking.
entailment,"A young child with dark shoulder length hair, in a yellow shirt and pink pants, is walking eating cheerios out of a ziplock bag.",a child eats cheerios
neutral,People running down a two lane road.,People are having an anti-abortion rally on a two lane road.
contradiction,A little girl in a pink jacket is walking.,The girl is wearing a white jacket.
entailment,"A young child, wearing a pink-polkadotted outfit, smiles at the camera as she lays on a white, shaggy rug.",The child is wearing polka dots
neutral,"A little girl, wearing a yellow, zip-front outfit is holding a flower and a basket and pointing upwards.",A girl is holding a rose.
entailment,Two children in swimming trunks are standing under a water sprinkler while a crowd looks on.,The crowd watches the children play in the sprinkler
contradiction,A cowboy struggling to maintain control on a horse at a rodeo.,cheese is made from water
neutral,Woman wearing jeans and white shirt watches as her bowling ball rolls down the lane to the pins.,A woman scores.
entailment,A girl in a striped black and white sweater holds on to her friend who is bent over wearing a hooded black sweater and torn blue jeans.,The girl is touching her friend.
contradiction,An athlete on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped.,Olympic hopefuls perform their swim routines.
neutral,A man in a leather jacket with the collar popped kisses the neck of a woman in a gray coat wearing a white scarf.,a couple are reunited
entailment,A man in a yellow shirt does East Asian calligraphy.,A man does calligraphy.
entailment,"A snowboarder is grinding on a rail in a snowy, mountainous area.",The snowboarder is outside.
contradiction,A boy on a skateboard ramp.,The girl is waiting on her bike
contradiction,Semi-pro martial artist practices his most powerful moves.,The kid just started his kung fu training class.
contradiction,Two people standing in front of a waterfall scenery.,Two people are standing in front of an train.
entailment,"A man cooks chicken on the grill, while others enjoy food in the background.",A human cooks food while others consume food in the background.
entailment,A float depicting religious imagery.,A float with icons.
entailment,A hiker pokes his head out of a tent high in the mountains.,The hiker is outside.
entailment,three girls take cover under their umbrellas.,Girls taking cover.
contradiction,Dog standing in grassy sand dune.,A basset hound runs by a park bench.
contradiction,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",the Dog is black
entailment,A man standing in front of a chalkboard points at a drawing.,A man points out a drawing on the chalkboard
neutral,A woman closes her eyes as she plays her cello.,The woman is performing for an audience.
entailment,Hockey players play a game on the ice.,People are playing a game of ice hockey.
neutral,A man in a blue uniform jumps in the air to shoot a basketball.,The man is playing in an NBA game.
entailment,A man in a dark floral shirt and black jeans walks buy a brightly colored wall painted with a woman with bright green eyes.,There is a wall with a green eyed woman painted on it and a man walking past it.
entailment,Two women and a man are in a sporty red convertible in front of a large group of people on the sidewalk.,Two women are in a car with a man.
entailment,There's an invisible man holding a rainbow umbrella.,the man is invisible
entailment,A group of young men and women are crouched in a circle.,The men and women are young.
entailment,"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in numbered jerseys wash their hands.
entailment,Three people walking down a hallway at the train station.,A group of people are walking through an area of public transportation.
neutral,A man in a blue helmet jumping off of a hill on a dirt bike.,The man is a professional athlete.
entailment,A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand.,A number of boys are airborne at the beach.
contradiction,Men and women walking down a sidewalk next to a garden.,The men and women are running through the forest.
contradiction,A man in a light colored uniform is outside an Asian restaurant cleaning the display window which features exotic foods hanging on hooks.,A man has a dark colored uniform.
neutral,Small boy wearing blue shorts sitting on bed.,The boy is 6 years old.
contradiction,Blue bus parked with back door opened as man in white shirt walk by it.,A guy rides in his car to work.
entailment,A woman is riding a bike as a child rides on the back of the bike.,A woman is riding a bike as a kid rides on the back.
entailment,Two dancers in azure appear to be performing in an alleyway.,A pair of people are in the alleyway.
neutral,A boy in a blue life jacket jumps off a board into the lake.,The boy is happy
neutral,Man walking in front of Queen and Portland Lofts and Condominiums.,A person is walking outside.
entailment,"Woman wearing a red sweater, brown slacks and a white hat, rollerblading on the street in front of a yellow building.",A woman is moving across the pavement.
entailment,A man with a white shirt and blue jeans are skating on a skating device.,The man is wearing jeans.
neutral,Two young boys have a conversation with one and other.,Two boys are talking outside.
entailment,A white dog is walking on a rocky hillside.,A dog walks outside.
neutral,A man with a dark shirt and light shorts is standing next to a person wearing a light shirt on a sidewalk.,a couple pose together
contradiction,A woman is cutting something with scissors.,A woman knits herself a sock.
contradiction,Boy reading book with company of a rolled over dog.,The child is attending the circus.
entailment,A man who has a gray beard and gray hair laughs while wearing a purple shirt.,A man is cheerful.
entailment,Three women and one man are sitting on a ledge facing away towards a large window.,Some people are sitting on a ledge.
contradiction,The Raiders complete the pass while the Dolphin defense scrambles to catch him.,The player is alone asleep in the bathtub.
contradiction,A man in a black shirt holds a smiling baby while another person in a blue shirt stands in the foreground.,A woman holds a happy baby while another person stands nearby.
contradiction,A little girl in a purple cap blows soap bubbles.,The brown cap flew off the head of the girl while she was jumping rope.
entailment,"A man and woman stand facing each other, the man holding an instrument and the woman holding a piece of paper.",The man and woman are facing one another.
entailment,A black dog plays with a white and blue colored stuffed animal.,A dog is playing with a stuffed animal.
entailment,People running down a two lane road.,Humans are moving fast.
neutral,A little boy watches a Ferris Wheel in motion.,A boy is waiting in line for the Ferris Wheel.
contradiction,Man walking in front of Queen and Portland Lofts and Condominiums.,A man is lying down in the park.
neutral,A man and woman and two small children are sitting in the floor with wrapped Christmas presents.,Everyone in the photo are related.
entailment,Black dog with orange ball approaches camera across dead leaves.,An animal is playing with toys.
entailment,A male is placing an order in a deli.,A man at a deli.
contradiction,Four people are bandaging a head wound.,Five people are bandaging a leg wound.
neutral,A single file line of children walk in front of a building.,Children in the open.
contradiction,"A crowd of people are surrounding a street performance, there are buildings in the background.",A crowd of people are riding a train
contradiction,Two children are diving side by side into a river.,Two children are driving side by side in cars.
entailment,A young woman with a ponytail and her back to the camera is taking a picture of what seems to be some sort of procession.,A girl is taking a picture of others
contradiction,Guy playing the guitar on a bench with another man watching him.,The guitar is on fire.
entailment,A white dog with long hair jumps to catch a red and green toy.,An animal is jumping to catch an object.
neutral,a man plays his guitar on the street.,The man is playing his guitar and singing on the street.
entailment,"A girl all in black and white, and carrying an umbrella, walks down the street, as others watch.",A girl out in the middle of a public area.
entailment,A young boy is in an overgrown field with a toy lawn mower.,A boy is in an overgrown field with a toy.
entailment,"Two little boys eat McDonald's while sitting at a table and chairs outside, where others are also eating.",Two kids eat food at an outside table.
contradiction,A boy in a red shirt and a boy in a yellow shirt are jumping on a trampoline outside.,The boys are asleep.
neutral,A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl has a black hat on.
entailment,A man spiking the ball at a volleyball game.,The teams play against one another during a volleyball game.
contradiction,Two men boxing a ring while one boxer is hitting the other.,They are playing ring around the rosy.
contradiction,"A little girl in a blue dress and white shoes is sitting on her red toy tractor, in a dirt road near a fence.",The girl is standing.
neutral,A woman in black framed glasses peruses a photo album while sitting in a red wicker chair.,A person is looking at pictures of her family.
contradiction,"A man in a blue windbreaker jacket, laying face down on a park bench, with a liquor bottle nestled by one of the bench's legs.",A man is dancing at the club popping bottles.
neutral,A man wearing a baseball hate is checking his phone,The man is texting his friends.
entailment,A person is climbing a cliff wall that overlooks water.,A person is climbing.
contradiction,a dog chases another dog.,Two dogs are lying on the grass.
neutral,A woman wearing a blue hairnet and apron talks over her shoulder as she grasps a plastic pitcher.,The woman woman wearing the hairnet is getting her hair done at the salon.
contradiction,View of a soccer ball being kicked into a goal net,A soccer ball bounces in a mud puddle on the street.
entailment,A little boy wearing a blue stiped shirt has a party hat on his head and is playing in a puddle.,The party boy is playing in a puddle.
neutral,A police officer is standing with his arms crossed.,A police officer is annoyed by the meddling children.
contradiction,Man dog sledding with his child in the icy snow.,A man takes his child for a walk with their dogs.
neutral,A lady in a black shirt is standing in a crowd with a rolled up piece of paper in her hands.,The lady in a black shirt has a piece of paper filled with lyrics in her hands.
contradiction,Two children plus two dachshunds get ready for a sleepover.,The children are feeding the dogs
entailment,"3 people, one man playing a guitar while sitting on the floor and two people playing a game on a sofa.",Several people are gathered inside.
neutral,A man holding up a bright pink umbrella on a city street.,A man is caught in a rain storm with an umbrella.
neutral,A woman in a tan dress is tending to her wares in the market.,The woman is selling pies.
contradiction,Several men in front of a white building.,Several women behind of a white truck.
contradiction,Two men making dance moves as a woman films the event in the living room of a house or apartment.,The men are swimming in the middle of the ocean.
entailment,A street vendor selling his art.,A man is selling things on the street.
contradiction,A boy plays in the surf.,The boy is building a tent.
contradiction,Three motorcyclists are racing on dirt bikes.,People are walking on a street.
entailment,A guy on a roof working on terracotta roof tiles.,A guy on a roof working on roof tiles.
contradiction,A man in a blue shirt climbs a rock while people behind him in red shirts watch.,A man watches others climbing a rock.
contradiction,A young man is holding a small boy who is wearing a backpack in front of a derelict building in a poor country.,A man is holding a purse
entailment,An old bearded man plays a hand flute on the side of a sidewalk.,An old bearded man plays an instrument on the side of a sidewalk.
contradiction,"A young boy with blue shorts, at an indoor pool jumping into the water.",a young kid eats a bagel in the pool
contradiction,A man in a brown hat with a beard is holding up a twig.,girl eats banana
neutral,"A man and a woman at a meal, with a dog between them.",A brother and sister have a dog between them.
entailment,a woman and her dog sitting at an outdoor cafe table,A woman and her pet sit outside at a restaurant.
contradiction,A girl in a blue shirt leaps into the air.,The girl has a green shirt.
neutral,"Three adults and one child are waiting outside of a building, perhaps a school.",Four people are waiting for the bus.
contradiction,a big tan dog drinks water from an outdoor water spout.,A dog is chasing a cat.
entailment,A man in a green Celtics hat and a woman wearing a black sweater display identical tattoos on their right wrists.,A man and woman display identical tattoos
entailment,Man on cellphone walking in front of silver car next to green grass.,The man is talking on the cell phone.
contradiction,A wrestler in purple curls up in a ball while one in blue celebrates.,The wrestler in purple celebrates.
entailment,People walking down a busy city street in the winter.,The street has a lot of people.
entailment,A man standing in front of a class of Asian students holding a picture of Santa Claus.,A human standing.
neutral,A boy cooking on a grill.,A boy cooking on a grill for a family gathering.
entailment,A small boat carrying at least one passenger floats in the water near a dock around sunset.,A boat is carrying a passenger.
entailment,A young girl washing a lime-green car.,A young girl washing a car.
neutral,Two little girls play in a fountain.,The two girls are less than 5 years old
neutral,A black and a brown dog are running toward the camera.,A black and a brown dog are running toward the video camera.
contradiction,Young woman celebrates getting a strike during a bowling game.,The young women is outside.
entailment,A young woman tennis player dressed in black carries many tennis balls on her racket.,A young woman tennis player have many tennis balls.
entailment,A black and brown dog attempts to catch a red ball in its mouth.,An animal is playing with a ball.
entailment,A young boy wearing a military sunhat catches a Frisbee outdoors.,a boy acthes frisbee
entailment,"Two men, one kneeling and one squatting, are posing in front of a clear wall with shops in the background.",There are two men posing in front of a transparent wall that you can see shops behind.
entailment,The brown and black dog has his mouth open.,a dog has his mouth open
contradiction,An older gentleman in a blue sports jacket and glasses is talking to a woman in an off-white jacket.,The older man is talking to another man.
neutral,Two women in bathing suits climb rock piles by the ocean.,Women are trying to show off for their spouses.
contradiction,A girl and boy are smiling in a green hallway.,A girl and boy are wrestling on the front porch.
neutral,Two boys stand in an ocean as the sun sets.,The ocean is calm
contradiction,There are people at the train station waiting for their trains and other trains are whizzing by them.,The train has stopped and they are boarding it.
entailment,An Asian woman stands along a road where 2 buses have passed holding her bags.,There is a Asian woman.
neutral,A woman sitting eating a sandwich.,A woman eating a meatball sandwich
neutral,A line of rollerbladers crouch down aerodynamically,A group of rollerbladers are performing a trick for the crowd.
neutral,A large black and white dog is catching a Frisbee in the park with a crowd of people behind him.,"The crowd at the park cheer as the large dog catch the Frisbee in its mouth, which is quite impressive."
neutral,A woman sits in a chair under a tree and plays an acoustic guitar.,A woman is playing a country song on her guitar while her husband in the distance listens.
contradiction,A man and a young boy are eating on a city sidewalk next to a cardboard box and a red shopping cart.,father and son watching television at home
entailment,"Cheerleader on top of a cheerleading pyramid, girls are looking up at her one is in the background doing the same cheer.",Young women are competing in a cheerleading competition.
entailment,A woman is tugging on a white sheet and laughing,The person is amused.
contradiction,A man in a large crowd converses with his friends.,A man is standing alone in the auditorium.
entailment,"Two children, standing among grass, are putting their arms out and are smiling.",Two kids smiling.
contradiction,Two boys in green and white uniforms play basketball with two boys in blue and white uniforms.,Eight girls in dresses are playing basketball.
contradiction,Two young children cook by sitting on the kitchen counter.,The kids are playing Ticket to Ride while riding a kayak down the New River.
contradiction,"A Jockey in a blue helmet, red shirt and white pants is riding a race horse with ""sparkasse"" signs in the background.",A man is riding a bicycle with signs in the background.
entailment,Here is a little girl drinking her soda at what looks like an aquarium while the dolphin swims in the background.,There is a girl with an animal
neutral,toddlers playing with toys.,The toddler is wearing a diaper.
entailment,A black dog walking through water.,The water has a black dog walking through it.
entailment,A man and a girl are both looking at something of interest.,Something catches the eye of a man and girl
neutral,"A male gymnast from Romania, wearing all red, holding himself vertically while upside-down on rings suspended in the air.",The gymnast is a professional.
contradiction,Man playing golf indoors with coat on.,A man is playing football indoors.
contradiction,a man and woman hug.,Everyone is standing apart.
contradiction,Two cars are parked by a body of water by some cranes.,Two cars parked inside of a garage.
contradiction,"Several toddlers in a room with many toys, a yellow lamp, a window, gray carpeting and paintings.",Two giraffes sing a song together.
contradiction,A view from a hidden camera at a low height shows a man and a woman standing under an umbrella mounted on the back of a three wheeled bicycle with a cart on the back.,A husband and wife enjoy their wedding in a church.
contradiction,A young woman with colorful clothes on.,She is naked.
contradiction,Two children lined up outside in a grassy field with their arms stretched out to the sides.,Two kids were in a field with their arms down.
entailment,Two boys wearing colorful winter hats and dark coats are riding bikes and smiling at each other.,Two boys are riding bikes.
neutral,A girl in sunglasses smiles.,Girl wearing sunglasses smiling at a friend.
contradiction,"Some Women and Men are Sun Tanning, and watching the Ocean Waves, on a Bunch of Rocks.",The people are not by any water.
entailment,"The baseball player wearing the ""Irish"" uniform prepares to throw the ball to his teammate as the umpire watches closely.",Baseball players playing a game.
neutral,"A young boy plays in the sprinklers, allowing the water to spray completely over his right arm.",The boy is wearing yellow swimming trunks.
entailment,a surfer is riding the waves whilst another surfer sits on his board waiting.,There are people surfing.
contradiction,"A group of dancers with green shirts are all holding hands in a circle, one lady has a white shirt.",A group of dancers is watching a movie
entailment,Young man running towards a tennis court while another is waiting in the other side of the net.,A young man is running.
contradiction,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",A man is eating alone at home.
contradiction,A lady in a black shirt is standing in a crowd with a rolled up piece of paper in her hands.,The lady is standing alone.
neutral,Smiling woman in yellow shirt gesturing.,the woman was gesturing to her son
contradiction,A group of men work on some streetcar rails.,The group of men are asleep at the parade.
contradiction,A man in a denim shirt and pants is smoking a cigarette while playing a cello for money.,A man in a green shirt is playing the piano.
contradiction,"An elderly woman pushing a cart filled with boxes walks by theater sign for ""South Pacific"".",Nobody is pushing anything
entailment,Backside view of a South America street vendor tending to her upright oven with a second woman looking away.,Backside view of a South America street vendor tending to her oven.
entailment,"Bicyclists are in the street as a crowd watches them ride by a banner that say ""London 2012"".",There are bikes being ridden.
neutral,A group of boy scouts are standing in an alert position.,A group of sad boy scouts are standing in an alert position.
neutral,"Lady vendor selling her goods, one man standing on a post, and two men in a wholesale store.","A woman selling roses, a police officer, two men shopping in a wholesale store."
contradiction,"Two men, one rowing and one sitting, in a canoe surrounded by a body of water.","Three men, one rowing and two sitting, in a canoe surrounded by a body of water."
entailment,"On the sidewalk, near the store's entrance, a local entertains all, by playing the accordion.",A local is playing an accordion.
entailment,A man in a blue jacket riding a bike,A man is on his bike.
entailment,A group of people walking in a line through the snow toward a mountain.,group of people walking  the snow toward a mountain
entailment,Three children in swimsuites are having fun outside near a white building.,Three kids playing outside by a building.
entailment,A dark colored man receives felicitations from a white colored woman which is seen by another white colored man.,There are at least 3 people.
entailment,Two women with long hair are walking on a sidewalk under an overpass.,Two ladies are by a road.
neutral,Two blond people are sitting in a park having a conversation.,Two people are sitting in a city park.
entailment,A little girl offers a ball to an upset toddler on a grassy field while a man in bermuda shorts stands behind them.,A man watches two children on a grassy field.
contradiction,A little girl is jumping over a yellow rope.,A girl jumps under a purple rope.
entailment,Two young men in black tank tops playing on a set of drums.,Some guys in black beat their drums.
neutral,"A woman with long dark hair is carrying a bag over her shoulder which says ""hot"" in metallic pink letters.","A lady carries her lunch to work in a shoulder bag with ""HOT"" written on it."
contradiction,A man napping on the ground with a shirt over his eyes with a person standing beside him.,Two people engaged in conversation.
entailment,An older man with large patches on his jeans looks on as a young man swings an axe downward toward a tree stump.,Two men are outside.
neutral,A person wearing orange pants in playing in the mud.,A young girl is making mud cakes.
entailment,A cowboy struggling to maintain control on a horse at a rodeo.,a cowboy is at a rodeo
entailment,A man in red and black about to strike a tennis ball.,A man is playing tennis.
contradiction,a pizza employee waiting for his next drive up customer,A person is picking up a pizza for dinner.
entailment,A group of children playing and having a good time.,The kids are together.
neutral,Group yoga class exercising.,A group of people holding various positions for a period of time.
contradiction,Several men dressed in Renaissance outfits.,Nobody has an outfit
entailment,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.","A jogger, dressed for jogging, jogs on a sidewalk near water."
entailment,Three workers bent over pulling grass.,Three workers bent over
contradiction,A football coach guiding one of his players on what he should do.,The player already knew what he was doing.
entailment,An athlete on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped.,A person ice skating.
neutral,A woman in a red hat waiting in line.,The woman is waiting to order a sandwich.
entailment,A girl is getting ready to dive into a pool.,A girl is diving into a pool.
contradiction,A man and a woman standing on a sidewalk in between buildings.,The sidewalk was deserted.
contradiction,Teens doing there best at a jump photo.,Adults are sitting at a table.
entailment,The quarterback of the UTEP football team is about to be tackled by a member of the Wisconsin defensive team.,The quarterback is about to be tackled by the opposing team.
entailment,A woman in a tan top and jeans is sitting on a bench wearing headphones.,A woman is listening to music.
neutral,A young girl in a cute hat and pink sweater pushes a toy lawn mower in front of a bicycle.,The girl just got the hat for her birthday.
contradiction,A young man wearing a gray shirt standing outside a wooden structure smiling and making a fist with his right hand.,A young man is sitting in a field.
neutral,A man biting a candle while a woman holds a cake.,Jeffs 30th birthday is not going well.
entailment,A person walking uphill from a construction zone.,A hill is near a construction site.
contradiction,"A girl all in black and white, and carrying an umbrella, walks down the street, as others watch.",A girl has all white.
contradiction,A group of people play a game in the road.,a boat out of the water
contradiction,"Three men; one pedaling while playing drums, one playing piano and one both pedaling and steering, move a type of mobile band down a street.",Three men are at a table playing cards
entailment,A man in a dark shirt and overalls is squatting down on gravel and working on a railroad car.,Several men wearing overalls are working on a railroad car while knelling on gravel
neutral,An elderly saxophonist performing at an outdoor event.,A world reknown musician performs his last performance at and outdoor music festival.
entailment,A bulldog is running through a grassy park while people stand in the background.,A bulldog running outdoors.
entailment,"Young boys playing indoor basketball, one team has black and white uniforms, the other has orange and white.",Several boys are playing basketball inside against each other.
neutral,A person on a boat by the shore.,A guy is on a boat by the shore.
entailment,"On stage, the innards of a piano are shown next to a man at a desk who is working on electronics, while a long-haired man is looking at a screen which shows ""53:11"".",There are two men.
contradiction,A charity walk happening with balloons.,None of the balloons would blow up because they had holes in them.
contradiction,Two men play basketball.,Two men are playing dodge ball.
entailment,"In a field of tall grass, a small girl feeds a larger boy a bite of some type of food.",One child feeds another.
contradiction,A woman observes a rusted antique car.,A woman is driving off a cliff.
entailment,A young man wearing a black shirt and black pants is standing in front of pictures that are black and white and some are colored.,There are several pictures near that man in black.
entailment,the man in jeans is sitting by the river with large fish.,A person is outside sitting by a body of water.
neutral,A boy wearing orange star glasses is sitting down holding a toy hammer.,A boy is showing off the prizes he won at the fair.
contradiction,2 rows of woman walking towards each other on the sidewalk outside of a store with a boy 50% sign on the golden framed windows.,The rows designate some kind of award.
neutral,A man in a black hoodie watching a man in a red cap.,The man in the black hoodie is a robber.
contradiction,Three young women pose for the camera at a parade.,The women went to the parade but no one took their picture.
entailment,An Asian man stands behind a makeshift storefront with a handmade yellow poster advertising watch repair.,There is a person and a sign.
neutral,"A young man with a plain shirt looking down, with a band and dancing people behind him.",A man performing in a play looks down at the audiance as the band and dancers move in the background.
contradiction,A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces.,Two men are in a light room
entailment,A bearded man in a light blue shirt peers through a magnifier to work on something that rests on a white paper box.,a man peers through a magnifier
neutral,Three Little boys hold hands and jump into a pool together.,The little boys are friends.
entailment,Man and a woman walking on the street,There are at least two people in the picture.
neutral,A volleyball player hitting a ball on the beach.,A volleyball player spikes a ball on the beach.
